"","mun","tipoesc","nomesc","endesc","numesc","complend","baiesc","ddd","fone1","fone2","email","alem","alejaem","alteleem","nomeFormat","cidNome","cep","endComp"
"34","Campinas","08","cecilia pereira professora","r serra do umbuzeiro","649",NA,"jardim paranapanema","019","32527868","32535508","e018119a@educacao.sp.gov.br"," 150","  0","0","Professora Cecilia Pereira","Campinas - Professora Cecilia Pereira","13100-239","r serra do umbuzeiro, 649, NA, Campinas"
"35","Campinas","08","ana rita godinho pousa professora","rua benedita franco gomes","165",NA,"vila esmeralda","019","32546500","32517857","e018200a@educacao.sp.gov.br"," 218","  0","0","Professora Ana Rita Godinho Pousa","Campinas - Professora Ana Rita Godinho Pousa","13090-390","rua benedita franco gomes, 165, NA, Campinas"
"36","Hortolandia","08","liomar freitas camara professora","rua edina aparecida bampa fonseca","29",NA,"vila real continuacao","019","38651284",NA,"e039858a@educacao.sp.gov.br"," 656","  0","0","Professora Liomar Freitas Camara","Hortolandia - Professora Liomar Freitas Camara","13183-150","rua edina aparecida bampa fonseca, 29, NA, Hortolandia"
"37","Hortolandia","08","raquel saes melhado da silva professora","rua waldomiro carlos da silva","228",NA,"jardim  nova hortolandia","019","38652571",NA,"e047806a@educacao.sp.gov.br"," 314","  0","0","Professora Raquel Saes Melhado Da Silva","Hortolandia - Professora Raquel Saes Melhado Da Silva","13183-590","rua waldomiro carlos da silva, 228, NA, Hortolandia"
"38","Hortolandia","08","eliseo marson professor","rua oswald de andrade","255",NA,"jardim amanda","019","39099070","39099000","e909610a@educacao.sp.gov.br"," 561","  0","0","Professor Eliseo Marson","Hortolandia - Professor Eliseo Marson","13188-022","rua oswald de andrade, 255, NA, Hortolandia"
"39","Hortolandia","08","hedy madalena bocchi professora","rua pico do itatiaia","333",NA,"jardim everest","019","38874788","38871159","e917552a@educacao.sp.gov.br"," 544","112","0","Professora Hedy Madalena Bocchi","Hortolandia - Professora Hedy Madalena Bocchi","13186-051","rua pico do itatiaia, 333, NA, Hortolandia"
"40","Paulinia","08","jose narciso vieira ehrenberg padre","rua campos sales","350",NA,"joao aranha","019","38742973","38749993","e039913a@educacao.sp.gov.br"," 878","  0","0","Padre Jose Narciso Vieira Ehrenberg","Paulinia - Padre Jose Narciso Vieira Ehrenberg","13145-684","rua campos sales, 350, NA, Paulinia"
"41","Sumare","08","leonilda rossi barriquelo professora","rua manoel bento marques gomes","222",NA,"jardim mineapolis","019","38643191","38832046","e909609a@educacao.sp.gov.br"," 167","  0","0","Professora Leonilda Rossi Barriquelo","Sumare - Professora Leonilda Rossi Barriquelo","13178-490","rua manoel bento marques gomes, 222, NA, Sumare"
"42","Campinas","08","joao nery dom","r erasmo braga","555",NA,"jardim chapadao","019","32416891","32424579","e018296a@educacao.sp.gov.br"," 428","  0","0","Dom Joao Nery","Campinas - Dom Joao Nery","13070-147","r erasmo braga, 555, NA, Campinas"
"43","Campinas","08","benedito sampaio professor","rua delfino cintra","789",NA,"botafogo","019","32314320",NA,"e018429a@educacao.sp.gov.br","  56","  0","0","Professor Benedito Sampaio","Campinas - Professor Benedito Sampaio","13020-100","rua delfino cintra, 789, NA, Campinas"
"44","Campinas","08","coriolano monteiro professor","rua luiz chiodetto","470",NA,"jardim carlos lourenco","019","32534222","32530365","e047120a@educacao.sp.gov.br"," 419"," 84","0","Professor Coriolano Monteiro","Campinas - Professor Coriolano Monteiro","13096-730","rua luiz chiodetto, 470, NA, Campinas"
"45","Jaguariuna","08","anna calvo de godoy professora","rua goias","70",NA,"jardim maua i","019","38673061","38675090","e913996a@educacao.sp.gov.br"," 768","  0","0","Professora Anna Calvo De Godoy","Jaguariuna - Professora Anna Calvo De Godoy","13820-000","rua goias, 70, NA, Jaguariuna"
"46","Campinas","08","thomas alves doutor","rua conselheiro antonio prado","160","centro","souzas","019","32583354","32582103","e018272a@educacao.sp.gov.br"," 283"," 32","0","Doutor Thomas Alves","Campinas - Doutor Thomas Alves","13073-068","rua conselheiro antonio prado, 160, centro, Campinas"
"47","Monte Mor","08","joana de aguirre marins peixoto professora","rua vinte e um","sn",NA,"parque bela vista","019","38795623",NA,"e914009a@educacao.sp.gov.br"," 411","  0","0","Professora Joana De Aguirre Marins Peixoto","Monte Mor - Professora Joana De Aguirre Marins Peixoto","13190-000","rua vinte e um, sn, NA, Monte Mor"
"48","Monte Mor","08","antonio sproesser professor","rua pedro eduardo moller","209",NA,"jardim vista alegre","019","38792586","38791193","e917783a@educacao.sp.gov.br"," 409","  0","0","Professor Antonio Sproesser","Monte Mor - Professor Antonio Sproesser","13190-000","rua pedro eduardo moller, 209, NA, Monte Mor"
"49","Nova Odessa","08","dorti zambello calil profa","avenida dr ernesto sprogis","1261",NA,"jardim bela vista","019","34662981","34662324","e039810a@educacao.sp.gov.br"," 315","  0","0","Profa Dorti Zambello Calil","Nova Odessa - Profa Dorti Zambello Calil","13460-000","avenida dr ernesto sprogis, 1261, NA, Nova Odessa"
"50","Nova Odessa","08","geraldo de oliveira","rua oscar araium","330",NA,"jardim monte das oliveiras","019","34765711","34766057","e497733a@educacao.sp.gov.br"," 106","  0","0","Geraldo De Oliveira","Nova Odessa - Geraldo De Oliveira","13460-000","rua oscar araium, 330, NA, Nova Odessa"
"51","Nova Odessa","08","alexandre bassora","rua juscelino kubitschek oliveira","377",NA,"jardim planalto","019","34662984","34663428","e903784a@educacao.sp.gov.br"," 191"," 66","0","Alexandre Bassora","Nova Odessa - Alexandre Bassora","13460-000","rua juscelino kubitschek oliveira, 377, NA, Nova Odessa"
"52","Campinas","08","milton de tolosa professor","rua maestro salvador bueno de oliveira","84",NA,"jardim leonor","019","32315799","32379484","e018478e@educacao.sp.gov.br"," 244"," 15","0","Professor Milton De Tolosa","Campinas - Professor Milton De Tolosa","13041-160","rua maestro salvador bueno de oliveira, 84, NA, Campinas"
"53","Campinas","08","luiz gonzaga da costa professor","avenida das  amoreiras","sn",NA,"bairro sao joao","019","32273085","32271033","e018508a@educacao.sp.gov.br"," 234","  0","0","Professor Luiz Gonzaga Da Costa","Campinas - Professor Luiz Gonzaga Da Costa","13050-575","avenida das  amoreiras, sn, NA, Campinas"
"54","Campinas","08","jose dos santos padre","r piracicaba","sn",NA,"jardim novo campos eliseos i","019","32272463","32670139","e018697a@educacao.sp.gov.br"," 235"," 96","0","Padre Jose Dos Santos","Campinas - Padre Jose Dos Santos","13050-700","r piracicaba, sn, NA, Campinas"
"55","Campinas","08","benedicta de salles pimentel wutke professora","rua galdencio viana dos passos","149",NA,"jardim nova america","019","32258946","32255988","e039895a@educacao.sp.gov.br"," 259"," 51","0","Professora Benedicta De Salles Pimentel Wutke","Campinas - Professora Benedicta De Salles Pimentel Wutke","13053-026","rua galdencio viana dos passos, 149, NA, Campinas"
"56","Campinas","08","elcio antonio selmi professor","r helenira r. de souza nazareth","175",NA,"residencial cosmos","019","32674661","32672311","e127784a@educacao.sp.gov.br"," 211","  0","0","Professor Elcio Antonio Selmi","Campinas - Professor Elcio Antonio Selmi","13059-113","r helenira r. de souza nazareth, 175, NA, Campinas"
"57","Campinas","08","jardim san diego","r antonio carlos folegatti","sn",NA,"jardim nova mercedes","019","32655598",NA,"e436012a@educacao.sp.gov.br"," 448","  0","0","Jardim San Diego","Campinas - Jardim San Diego","13052-506","r antonio carlos folegatti, sn, NA, Campinas"
"58","Campinas","08","maria julieta de godoi cartezani professora","rua campo grande","34",NA,"vila maria eugenia","019","32273508","32670462","e901097a@educacao.sp.gov.br"," 598","  0","0","Professora Maria Julieta De Godoi Cartezani","Campinas - Professora Maria Julieta De Godoi Cartezani","13050-150","rua campo grande, 34, NA, Campinas"
"59","Campinas","08","ruy rodriguez","r paulo gliwkoff","104",NA,"conjunto habitacional parque itajai","019","32611256","32614933","e905471a@educacao.sp.gov.br"," 795","  0","0","Ruy Rodriguez","Campinas - Ruy Rodriguez","13058-023","r paulo gliwkoff, 104, NA, Campinas"
"60","Campinas","08","antonio mobili padre","rua geraldo jose de almeida","230",NA,"jardim campina grande","019","32611288",NA,"e913984a@educacao.sp.gov.br"," 207","  0","0","Padre Antonio Mobili","Campinas - Padre Antonio Mobili","13058-620","rua geraldo jose de almeida, 230, NA, Campinas"
"61","Valinhos","08","flavio de carvalho","rua sete","344",NA,"jardim sao marcos","019","38715950",NA,"e920630a@educacao.sp.gov.br"," 300","  0","0","Flavio De Carvalho","Valinhos - Flavio De Carvalho","13272-821","rua sete, 344, NA, Valinhos"
"62","Vinhedo","08","israel schoba professor","rua guido cinci","310",NA,"jardim sao mateus","019","38761384",NA,"e045640a@educacao.sp.gov.br"," 482","  0","0","Professor Israel Schoba","Vinhedo - Professor Israel Schoba","13280-000","rua guido cinci, 310, NA, Vinhedo"
"63","Campinas","08","messias goncalves teixeira professor","r adao goncalves","sn",NA,"jardim aparecida","019","32811855","32816881","e907352a@educacao.sp.gov.br"," 470","  0","0","Professor Messias Goncalves Teixeira","Campinas - Professor Messias Goncalves Teixeira","13068-028","r adao goncalves, sn, NA, Campinas"
"64","Hortolandia","08","jardim santa clara do lago","rua luiz da costa camargo","55",NA,"jardim santa clara lago","019","38871167","38875136","e048240a@educacao.sp.gov.br"," 461","  0","0","Jardim Santa Clara Do Lago","Hortolandia - Jardim Santa Clara Do Lago","13186-400","rua luiz da costa camargo, 55, NA, Hortolandia"
"65","Hortolandia","08","paulina rosa professora","rua rene descartes","75",NA,"jardim santa rita de cassia","019","38872099","38872228","e900527a@educacao.sp.gov.br"," 183","  0","0","Professora Paulina Rosa","Hortolandia - Professora Paulina Rosa","13186-290","rua rene descartes, 75, NA, Hortolandia"
"66","Hortolandia","08","conceicao aparecida terza gomes cardinales professora","rua visconde do rio branco","100",NA,"jardim amanda ii","019","38652592","39096868","e917540a@educacao.sp.gov.br"," 576","  0","0","Professora Conceicao Aparecida Terza Gomes Cardinales","Hortolandia - Professora Conceicao Aparecida Terza Gomes Cardinales","13188-242","rua visconde do rio branco, 100, NA, Hortolandia"
"67","Paulinia","08","porphyrio da paz general","rua presidente costa e silva","520",NA,"nova paulinia","019","38743090",NA,"e018892a@educacao.sp.gov.br","1111","  0","0","General Porphyrio Da Paz","Paulinia - General Porphyrio Da Paz","13140-297","rua presidente costa e silva, 520, NA, Paulinia"
"68","Campinas","08","31 de marco","r pedro pinheiro","385",NA,"jardim santa monica","019","32460077","32462933","e018533a@educacao.sp.gov.br"," 311"," 62","0","31 De Marco","Campinas - 31 De Marco","13082-160","r pedro pinheiro, 385, NA, Campinas"
"69","Campinas","08","hercy moraes professora","av paulo provenza sobrinho","1450",NA,"vila perseu leite de barros","019","32688889","32685900","e018788a@educacao.sp.gov.br"," 179","  0","0","Professora Hercy Moraes","Campinas - Professora Hercy Moraes","13060-356","av paulo provenza sobrinho, 1450, NA, Campinas"
"70","Campinas","08","vitor meirelles","rua espirito santo","67",NA,"sao bernardo","019","32720155",NA,"e018879a@educacao.sp.gov.br"," 439","  0","0","Vitor Meirelles","Campinas - Vitor Meirelles","13031-180","rua espirito santo, 67, NA, Campinas"
"71","Campinas","08","guido segalho","av pascoal celestino soares","sn",NA,"jardim bonfim","019","32437324","32422067","e018922a@educacao.sp.gov.br"," 206","  0","0","Guido Segalho","Campinas - Guido Segalho","13032-540","av pascoal celestino soares, sn, NA, Campinas"
"72","Campinas","08","adalberto prado e silva professor","rua dos  arapanes","sn",NA,"vila costa e silva","019","32080455","32083668","e018260a@educacao.sp.gov.br"," 164","  0","0","Professor Adalberto Prado E Silva","Campinas - Professor Adalberto Prado E Silva","13081-050","rua dos  arapanes, sn, NA, Campinas"
"73","Monte Mor","08","elias massud doutor","rua fauze calil","30",NA,"centro","019","38791919","38791188","e018727a@educacao.sp.gov.br"," 184","  0","0","Doutor Elias Massud","Monte Mor - Doutor Elias Massud","13190-000","rua fauze calil, 30, NA, Monte Mor"
"74","Campinas","08","moacyr santos de campos professor","rua comandante ataliba eurides vieira","1030",NA,"jardim nilopolis","019","32566029","32562173","e903875a@educacao.sp.gov.br"," 332","  0","0","Professor Moacyr Santos De Campos","Campinas - Professor Moacyr Santos De Campos","13088-648","rua comandante ataliba eurides vieira, 1030, NA, Campinas"
"75","Campinas","08","eunice virginia ramos navero professora","r alceu amoroso lima","188",NA,"parque imperador","019","32073066","32070088","e912924a@educacao.sp.gov.br","  78","  0","0","Professora Eunice Virginia Ramos Navero","Campinas - Professora Eunice Virginia Ramos Navero","13097-124","r alceu amoroso lima, 188, NA, Campinas"
"76","Campinas","08","uacury ribeiro de assis bastos professor","r maria salome bras","80",NA,"jardim monte belo","019","32571475","32571450","e914873a@educacao.sp.gov.br","  66","  0","0","Professor Uacury Ribeiro De Assis Bastos","Campinas - Professor Uacury Ribeiro De Assis Bastos","13098-879","r maria salome bras, 80, NA, Campinas"
"77","Hortolandia","08","honorino fabbri doutor","rua osorio candido da silva","179",NA,"jardim  sumarezinho","019","38871680","38874992","e036468a@educacao.sp.gov.br"," 421","  0","0","Doutor Honorino Fabbri","Hortolandia - Doutor Honorino Fabbri","13185-012","rua osorio candido da silva, 179, NA, Hortolandia"
"78","Hortolandia","08","maristela carolina mellin","rua valdevino isidoro marciano","174",NA,"jardim minda","019","38652574",NA,"e048276a@educacao.sp.gov.br"," 325","  0","0","Maristela Carolina Mellin","Hortolandia - Maristela Carolina Mellin","13184-680","rua valdevino isidoro marciano, 174, NA, Hortolandia"
"79","Hortolandia","08","jonatas davi visel dos santos","rua tereza luiza goncalves","130",NA,"adventista campineiro","019","39090505","39090616","e070294a@educacao.sp.gov.br"," 278","  0","0","Jonatas Davi Visel Dos Santos","Hortolandia - Jonatas Davi Visel Dos Santos","13187-176","rua tereza luiza goncalves, 130, NA, Hortolandia"
"80","Hortolandia","08","priscila fernandes da rocha","rua dante de oliveira","sn",NA,"jardim amanda","019","38651382","38191227","e462342a@educacao.sp.gov.br"," 419","  0","0","Priscila Fernandes Da Rocha","Hortolandia - Priscila Fernandes Da Rocha","13188-054","rua dante de oliveira, sn, NA, Hortolandia"
"81","Hortolandia","08","paulo camilo de camargo","rua catulo da paixao cearense","110",NA,"jardim sao bento","019","38871770","39091718","e907595a@educacao.sp.gov.br"," 161","  0","0","Paulo Camilo De Camargo","Hortolandia - Paulo Camilo De Camargo","13187-112","rua catulo da paixao cearense, 110, NA, Hortolandia"
"82","Hortolandia","08","cristiane chaves moreira braga professora","r fabiano pinheiro da silva","40",NA,"jardim santana","019","38972655",NA,"e924994a@educacao.sp.gov.br"," 213","  0","0","Professora Cristiane Chaves Moreira Braga","Hortolandia - Professora Cristiane Chaves Moreira Braga","13184-559","r fabiano pinheiro da silva, 40, NA, Hortolandia"
"83","Sumare","08","elysabeth de mello rodrigues professora","rua presidente prudente de moraes","1",NA,"parque  euclides miranda","019","38733382",NA,"e045548a@educacao.sp.gov.br"," 261","  0","0","Professora Elysabeth De Mello Rodrigues","Sumare - Professora Elysabeth De Mello Rodrigues","13174-526","rua presidente prudente de moraes, 1, NA, Sumare"
"84","Sumare","08","luis henrique marchi professor","rua guido segalho","250",NA,"jardim sao judas tadeu","019","38641034","38543666","e042523a@educacao.sp.gov.br"," 160","  0","0","Professor Luis Henrique Marchi","Sumare - Professor Luis Henrique Marchi","13180-510","rua guido segalho, 250, NA, Sumare"
"85","Sumare","08","jeny bonadia rodrigues santarrossa professora","rua maria conceicao da rocha ferraz","409",NA,"jardim  bom retiro","019","38641320","38543877","e045573a@educacao.sp.gov.br"," 675","  0","0","Professora Jeny Bonadia Rodrigues Santarrossa","Sumare - Professora Jeny Bonadia Rodrigues Santarrossa","13181-656","rua maria conceicao da rocha ferraz, 409, NA, Sumare"
"86","Jaguariuna","08","julia calhau rodrigues professora","rua roraima","55",NA,"dom bosco","019","38671401","38675087","e047053a@educacao.sp.gov.br"," 764","100","0","Professora Julia Calhau Rodrigues","Jaguariuna - Professora Julia Calhau Rodrigues","13820-000","rua roraima, 55, NA, Jaguariuna"
"87","Campinas","08","francisco alvares professor","est da rhodia","km15",NA,"vila hollandia","019","32874343","37870314","e018867a@educacao.sp.gov.br"," 159","  0","0","Professor Francisco Alvares","Campinas - Professor Francisco Alvares","13085-000","est da rhodia, km15, NA, Campinas"
"88","Campinas","08","carlos gomes","avenida anchieta","80",NA,"centro","019","32313033","32313153","e018302a@educacao.sp.gov.br"," 884","155","0","Carlos Gomes","Campinas - Carlos Gomes","13015-100","avenida anchieta, 80, NA, Campinas"
"89","Campinas","08","orosimbo maia","avenida andrade neves","214",NA,"centro","019","32318758","32318362","e018351a@educacao.sp.gov.br"," 457","  0","0","Orosimbo Maia","Campinas - Orosimbo Maia","13013-160","avenida andrade neves, 214, NA, Campinas"
"90","Campinas","08","djalma octaviano professor","rua willian booth","sn",NA,"jardim pauliceia","019","32684600","32273505","e018569a@educacao.sp.gov.br"," 150","  0","0","Professor Djalma Octaviano","Campinas - Professor Djalma Octaviano","13060-063","rua willian booth, sn, NA, Campinas"
"91","Campinas","08","carlos francisco de paula professor","rua laranjal paulista","395",NA,"cidade jardim","019","32271806","32286850","e018880a@educacao.sp.gov.br"," 307","  0","0","Professor Carlos Francisco De Paula","Campinas - Professor Carlos Francisco De Paula","13050-440","rua laranjal paulista, 395, NA, Campinas"
"92","Monte Mor","08","mario covas governador","rua misael berganton","03",NA,"parque residencial sao clemente","019","39791394",NA,"e406272a@educacao.sp.gov.br"," 222","  0","0","Governador Mario Covas","Monte Mor - Governador Mario Covas","13190-000","rua misael berganton, 03, NA, Monte Mor"
"93","Campinas","08","aurea anunciacao americo de godoi professora","rua joaquim severino","245",NA,"jardim samambaia","019","32765211","32768595","e018156a@educacao.sp.gov.br"," 128","  0","0","Professora Aurea Anunciacao Americo De Godoi","Campinas - Professora Aurea Anunciacao Americo De Godoi","13046-540","rua joaquim severino, 245, NA, Campinas"
