"","nome","permanencia","abandono","mun","tipoesc","endesc","numesc","complend","baiesc","codcep","compcep","ddd","fone1","fone2","email"
"11","flavio de carvalho",2,0,"VALINHOS","08","RUA SETE","344",NA,"JARDIM SAO MARCOS","13272","821","019","38715950",NA,"E920630A@EDUCACAO.SP.GOV.BR"
"12","francisco alvares professor",1,0,"CAMPINAS","08","EST DA RHODIA","KM15",NA,"VILA HOLLANDIA","13085","000","019","32874343","37870314","E018867A@EDUCACAO.SP.GOV.BR"
"13","francisco de araujo mascarenhas doutor",1,0,"PAULINIA","08","AVENIDA ARISTOTELES COSTA","373",NA,"JARDIM FORTALEZA","13140","074","019","38743097",NA,"E018739A@EDUCACAO.SP.GOV.BR"
"14","hildebrando siqueira professor",0,1,"CAMPINAS","08","RUA SILVIO DI MARZIO","SN",NA,"JARDIM EULINA","13063","370","019","32426299","32424850","E035932A@EDUCACAO.SP.GOV.BR"
"15","joao lourenco rodrigues professor",4,5,"CAMPINAS","08","RUA DOUTOR EMILIO RIBAS","710",NA,"CAMBUI","13025","141","019","37530225",NA,"E018235A@EDUCACAO.SP.GOV.BR"
"16","joaquim ferreira lima professor",0,3,"CAMPINAS","08","RUA JOAO NOGUEIRA FERRAZ FILHO","30",NA,"VILA TRINTA E UM DE MARCO","13091","558","019","32070037","32070989","E018399A@EDUCACAO.SP.GOV.BR"
"17","jose carlos nogueira reverendo professor",2,0,"CAMPINAS","08","RUA  DOS IPES AMARELOS","111",NA,"VILA BOA VISTA","13064","771","019","32451266",NA,"E018855A@EDUCACAO.SP.GOV.BR"
"18","jose narciso vieira ehrenberg padre",23,4,"PAULINIA","08","RUA CAMPOS SALES","350",NA,"JOAO ARANHA","13145","684","019","38742973","38749993","E039913A@EDUCACAO.SP.GOV.BR"
"19","luis gonzaga de moura monsenhor",0,1,"CAMPINAS","08","R CARLOS FRANCHEU","100",NA,"DAE","13023","610","019","32527799","32529914","E018120A@EDUCACAO.SP.GOV.BR"
"20","messias goncalves teixeira professor",0,1,"CAMPINAS","08","R ADAO GONCALVES","SN",NA,"JARDIM APARECIDA","13068","028","019","32811855","32816881","E907352A@EDUCACAO.SP.GOV.BR"
"21","nucleo habitacional jose paulino nogueira",5,3,"PAULINIA","08","AVENIDA DOS TRABALHADORES","400",NA,"JARDIM MONTE ALEGRE I","13142","464","019","38742918",NA,"E035956A@EDUCACAO.SP.GOV.BR"
"22","orlando signorelli",1,2,"CAMPINAS","08","RUA NELSON BARBOSA DA SILVA","SN",NA,"DIC VI","13054","632","019","32668077",NA,"E045676A@EDUCACAO.SP.GOV.BR"
"23","orosimbo maia",1,2,"CAMPINAS","08","AVENIDA ANDRADE NEVES","214",NA,"CENTRO","13013","160","019","32318758","32318362","E018351A@EDUCACAO.SP.GOV.BR"
"25","parque dos servidores",5,0,"PAULINIA","08","RUA ME MARIA VILLAC","141",NA,"BELA VISTA","13145","008","019","38443838","38443358","E462822A@EDUCACAO.SP.GOV.BR"
"26","paulo mangabeira albernaz prof doutor",1,0,"CAMPINAS","08","R JAIR JORGE BOSCO","15",NA,"JARDIM APARECIDA","13068","605","019","32811979",NA,"E045697A@EDUCACAO.SP.GOV.BR"
"27","residencial sao jose",0,1,"CAMPINAS","08","RUA LUCIA CRAVEIRO BRESSAN","SN",NA,"REISDENCIAL SAO JOSE","13057","162","019","32669775",NA,"E924945A@EDUCACAO.SP.GOV.BR"
"28","rita de cassia da silva professora",2,0,"CAMPINAS","08","R PLACIDA PRETINI","101",NA,"PARQUE SAO JORGE","13064","812","019","32824444",NA,"E924544A@EDUCACAO.SP.GOV.BR"
"29","roque de magalhaes barros professor",1,0,"CAMPINAS","08","R ANTONIO MARCOS PENSAMENTO DA SILVA","410","LOTES 9 E","REAL PARQUE","13082","790","019","32892800",NA,"E047193A@EDUCACAO.SP.GOV.BR"
